Cmp,sample, R,AP,short_sample,recovery
Diclofenac,750 4,1011.9200608104906,717.6159125360906,750,0.7091626506162166
Diclofenac,750 5,968.4449767546936,722.7993089070102,750,0.746350413555911
OH Chlorzoxazone,250 1,375.0765768897354,260.5265422630946,250,0.6945956061118791
OH Chlorzoxazone,250 2,339.6719633766279,263.5940235755379,250,0.7760252596510744
OH Chlorzoxazone,250 3,548.6726047842412,258.0491404749491,250,0.47031533600337816
OH Chlorzoxazone,250 4,458.58916027454234,319.9178604912149,250,0.6976132194221306
OH Chlorzoxazone,250 5,442.9924979602756,288.0068266498474,250,0.6501392867282231
OH Chlorzoxazone,3.0 1,3453.871098508531,3175.2907855228295,3000,0.9193425854525957
OH Chlorzoxazone,3.0 2,4559.106655521098,4260.465881636752,3000,0.9344957693580844
OH Chlorzoxazone,3.0 3,3723.9881653774464,3148.749161480733,3000,0.8455314629501757
OH Chlorzoxazone,3.0 4,4093.781448268379,3059.481121399368,3000,0.7473484259140146
OH Chlorzoxazone,3.0 5,3881.8615707671506,3246.9179342616553,3000,0.8364332099611643
OH Chlorzoxazone,750 1,904.1333682378545,842.5291098263051,750,0.9318637486728143
OH Chlorzoxazone,750 2,1013.1454307984641,960.7587417324849,750,0.9482930214424468
OH Chlorzoxazone,750 3,1208.3378376884657,931.1692185899756,750,0.7706199289192913
OH Chlorzoxazone,750 4,998.700524412212,830.8520476618924,750,0.8319331244477844
OH Chlorzoxazone,750 5,1076.978173523702,860.4106596094316,750,0.7989118821176331
Phenacetin,250 1,342.1983443158244,247.9432649565478,250,0.7245600952636815
Phenacetin,250 2,363.06561620066486,252.42395768384213,250,0.6952571282440815
Phenacetin,250 3,370.4120833875147,267.29887400198135,250,0.7216256866068291
Phenacetin,250 4,353.3843698453573,271.42006869185764,250,0.7680590650079752
Phenacetin,250 5,328.8663666005466,264.15990210790613,250,0.8032438976308107
Phenacetin,3.0 1,3981.906553811829,3232.7167119380047,3000,0.811851475731736
Phenacetin,3.0 2,3784.2947491238433,2791.656561965972,3000,0.7376953295227092
Phenacetin,3.0 3,3988.938757210389,3310.272456187052,3000,0.8298629429201982
Phenacetin,3.0 4,4088.3930858563467,2826.035144635854,3000,0.6912337158607434
Phenacetin,3.0 5,3687.9720903947045,2642.476646078524,3000,0.7165121051107828
Phenacetin,750 1,1041.562419413128,813.551092820602,750,0.7810872182571642
Phenacetin,750 2,1079.3206387151863,799.8441137723482,750,0.7410625583186063
Phenacetin,750 3,1059.4241359105959,811.7966794322679,750,0.7662622097376635
Phenacetin,750 4,1139.477817486806,712.2248588136218,750,0.6250449529456229
Phenacetin,750 5,1111.6553048942778,728.8386683385378,750,0.6556336889049009
